time_s,speed_mps,acc_mps2,force_N,motor_rpm,motor_torque_Nm
5.0,2.4722222222222223,0.6250000000000001,1264.9440309683644,708.2394967589344,43.4688670435864
6.0,3.0277777777777777,0.6150793650793658,1249.2729863255083,867.3944398508297,42.930343172697874
7.0,3.75,0.6058201058201068,1235.4451133316816,1074.2958658702935,42.45515853373475
8.0,4.222222222222222,0.5826719576719588,1197.5643966843052,1209.5775674984045,41.15341569361873
9.0,4.888888888888889,0.5535714285714296,1150.4670935097022,1400.5634992086793,39.53495166700007
10.0,5.361111111111112,0.5350529100529109,1120.8770715768312,1535.8452008367904,38.51811242532066
11.0,5.944444444444444,0.5165343915343923,1091.9727150374792,1702.95789108328,37.52483556829825
12.0,6.388888888888888,0.49735449735449816,1061.508920857585,1830.2818455567965,36.47796978892045
13.0,6.944444444444445,0.48478835978836066,1043.0411166247811,1989.4367886486918,35.84333734105777
14.0,7.361111111111111,0.4636243386243391,1009.391552926037,2108.8029959676132,34.68699494591192
15.0,7.888888888888888,0.4636243386243389,1012.536748932981,2260.0001919049137,34.79507728292031
16.0,8.277777777777779,0.48280423280423274,1047.5993859369487,2371.408652069241,35.99997889817693
17.0,8.805555555555555,0.5198412698412692,1114.0856559022257,2522.6058480065412,38.28473044337545
18.0,9.361111111111112,0.5800264550264546,1220.344403587411,2681.760791098437,41.936233800254676
19.0,9.944444444444443,0.628306878306879,1306.8218647729288,2848.8734813449264,44.90796786161267
20.0,10.583333333333334,0.6137566137566154,1287.211417101524,3031.901665900606,44.234069316203566
21.0,11.25,0.5515873015873038,1187.2115336359166,3222.8875976108807,40.79764720398338
22.0,11.722222222222223,0.44444444444444703,1009.3078012808686,3358.1692992389917,34.68411688250407
23.0,12.083333333333332,0.3194444444444468,800.1670792708373,3461.6200122487235,27.497150490406778
24.0,12.36111111111111,0.23346560846561026,656.6564686006424,3541.1974837946714,22.565514384901796
25.0,12.555555555555555,0.19576719576719684,594.4624357054691,3596.901713876835,20.428262395376947
26.0,12.722222222222221,0.19047619047619066,587.1140473126106,3644.6481968044027,20.175740457478028
27.0,12.944444444444445,0.21693121693121623,634.3164571009688,3708.310174041162,21.797816395222295
28.0,13.166666666666666,0.26653439153439035,720.909313802908,3771.9721512779197,24.77351593824426
29.0,13.472222222222221,0.3300264550264537,832.026597568891,3859.5073699784616,28.591979297900032
30.0,13.805555555555555,0.38822751322751226,934.5215543810609,3955.0003358335994,32.114142762235765
31.0,14.249999999999998,0.41931216931216914,992.2380962681875,4082.324290307115,34.09752908138101
32.0,14.694444444444443,0.4173280423280428,993.8920871852962,4209.648244780632,34.15436725722667
33.0,15.083333333333332,0.38756613756613867,947.8221200777135,4321.056704944958,32.5712068755228
34.0,15.444444444444445,0.3492063492063507,886.9183521075862,4424.507417954691,30.47829388685863
35.0,15.777777777777777,0.32010582010582145,841.5144072663162,4520.000383809827,28.91802086825829
36.0,16.083333333333332,0.28835978835978965,791.3504805935869,4607.535602510369,27.19417459084491
37.0,16.36111111111111,0.24669312169312343,724.0389466429704,4687.1130740563185,24.881063458521314
38.0,16.583333333333332,0.19510582010582186,639.201392895175,4750.775051293076,21.965683604645186
39.0,16.75,0.13690476190476306,542.4305661755973,4798.521534220645,18.6402256417731
40.0,16.86111111111111,0.08201058201058282,450.56983612709575,4830.352522839024,15.483499523267895
41.0,16.916666666666664,0.04563492063492097,389.4645179613101,4846.268017148213,13.383660411041582
42.0,16.944444444444443,0.035052910052909655,371.8426576300699,4854.225764302808,12.778098200346042
43.0,16.97222222222222,0.05291005291005222,402.56796119323076,4862.183511457402,13.83395055646841
44.0,17.055555555555554,0.09722222222222121,479.00674942901065,4886.056752921187,16.460713038797618
45.0,17.166666666666664,0.15674603174603066,581.6831354960299,4917.887741539565,19.98911118543058
46.0,17.36111111111111,0.21957671957671895,691.1188644339717,4973.59197162173,23.749789155806585
47.0,17.61111111111111,0.27579365079365076,790.1042150374778,5045.2116960130825,27.151347595789613
48.0,17.916666666666668,0.3167989417989418,864.0553497734788,5132.746914713624,29.692623703555974
49.0,18.25,0.3346560846560843,899.1235023528434,5228.239880568762,30.897714857486022
50.0,18.583333333333336,0.32671957671957624,890.4292874718908,5323.7328464239,30.598944586662913
51.0,18.916666666666664,0.3015873015873016,852.5891072470239,5419.225812279036,29.298594750756834
52.0,19.194444444444443,0.2757936507936516,812.8768090768313,5498.803283824984,27.933910964839562
53.0,19.444444444444443,0.25462962962963054,780.6727510493843,5570.423008216336,26.827242304102548
54.0,19.694444444444446,0.24404761904762,766.5069578863553,5642.04273260769,26.3404452881909
