Switching Losses:
Temperature (°C), Switched Current (A), Maximum Voltage (V), Switching Loss (J)
100, 4.852722362305144, 0.14747595035697714, 1.9492490661818625e-05
100, 9.769160267194081, 0.296000705294432, 1.3138028701367328e-05
100, 14.685573768376514, 0.44465722479731085, 2.3374427421797225e-05
100, 24.518277045499985, 0.7424298953669677, 4.548874792354007e-05
100, 34.350771245593705, 1.0409537478744255, 7.384852812102749e-05
100, 44.1830023139417, 1.340367138789702, 0.00011761251195253116
100, 63.84641524583685, 1.9423473364160486, 0.00022116341936256607
100, 78.59282739510604, 2.3972092570864447, 0.000329934555230288
100, 88.42280952843026, 2.7039786193404325, 0.000408622701040529
100, 122.8193855589933, 3.7852758826371655, 0.0007461268659893151
100, 152.2792573027013, 4.73080525285792, 0.0010864138091923794
100, 176.77770577876515, 5.537426186066966, 0.0013862111108081665

175, 4.852926087573621, 0.2137408308983595, 2.128636698914449e-05
175, 9.769649461111669, 0.42896082096052623, 1.283079263665012e-05
175, 14.68634957667291, 0.6443336333083494, 2.3094285116434862e-05
175, 24.51964266118324, 1.0756808288036268, 4.5072492973884483e-05
175, 34.35277665731661, 1.5080622019959833, 7.251807132972049e-05
175, 44.18572161543267, 1.9418696029663352, 0.00011226823135549737
175, 63.85091910401883, 2.8142565642457953, 0.0002301085444763875
175, 78.59916477564411, 3.473558099527679, 0.00033838069994639565
175, 88.4307985450775, 3.916266593834223, 0.00041615084115254313
175, 122.83723044722734, 5.48878394686551, 0.0007754546827665118
175, 152.318938303072, 6.872558099337539, 0.0011085761100936599
175, 176.87269037273836, 8.056230669715774, 0.001408674306330307


Conduction Losses:
Temperature (°C), Forward Current (A), Reverse Current (A), Maximum Voltage (V), Delta Voltage (V), Conduction Loss (J)
100, 9.898861254399094, 0.9818970594255916, 0.14747595035697714, 0.027625404971274747, -8.141804163962107e-06
100, 19.861095933719497, 2.027167050023877, 0.296000705294432, 0.056193696872639975, 2.029512206284503e-05
100, 29.823330733247246, 3.072437227770024, 0.44465722479731085, 0.08476475101542746, 4.027382203181237e-05
100, 49.747799332945135, 5.162975594172394, 0.7424298953669677, 0.14192110956696524, 0.00010320641502885899
100, 69.67227061838997, 7.253518767506364, 1.0409537478744255, 0.19909741145755788, 0.00020215457150021484
100, 89.59674387173294, 9.344065375143487, 1.340367138789702, 0.2563035579738653, 0.0003274451511689142
100, 129.44568113273945, 13.52514053834085, 1.9423473364160486, 0.37086095032861977, 0.0006862635353894466
100, 159.37523412982756, 16.660866047829188, 2.3972092570864447, 0.4569444073871409, 0.0010225004340759171
100, 179.25685511061104, 18.751486328651197, 2.7039786193404325, 0.5145705716092266, 0.0012936517566711336
100, 249.15526764850796, 26.45888700852055, 3.7852758826371655, 0.7220634970561832, 0.002474249719383546
100, 309.005831993461, 32.33984123395061, 4.73080525285792, 0.8899973080575023, 0.0038067840803163513
100, 358.94149128448504, 37.56634579653905, 5.537426186066966, 1.0356347360634004, 0.0051734079386192115

175, 9.917541429122707, 0.9818878803244502, 0.2137408308983595, 0.03418073805590893, -8.2195678016561e-06
175, 19.898453751673628, 2.0271438431439037, 0.42896082096052623, 0.0697341482846241, 2.7153020975872842e-05
175, 29.88503862066736, 3.0723855364391284, 0.6443336333083494, 0.10529173841172224, 5.5292688165223386e-05
175, 49.84119660747979, 5.162922545146955, 1.0756808288036268, 0.1764186649093631, 0.000144855736731129
175, 69.80302440537997, 7.253439890926927, 1.5080622019959833, 0.24759604065758367, 0.00028185720692223856
175, 89.76485461390993, 9.34396138997613, 1.9418696029663352, 0.31884442879572816, 0.0004706989613972656
175, 129.68850920314523, 13.524992226128063, 2.8142565642457953, 0.4615889979081089, 0.0009673311487264317
175, 159.6615006414396, 16.6606824921395, 3.473558099527679, 0.5689086277554338, 0.0014475252739855355
175, 179.62711052936328, 18.75118856127031, 3.916266593834223, 0.6406216204126167, 0.001831020279145556
175, 249.59388819497477, 26.067957256605325, 5.48878394686551, 0.8928215380456095, 0.003508841122651058
175, 309.5610824585045, 32.339633193280406, 6.872558099337539, 1.1109330356175064, 0.005419348373237265
175, 359.60470915858946, 37.565916834744826, 8.056230669715774, 1.2943046235237148, 0.007372561274272504

